형태소,품사,분류,카운트
!,Punctuation,1,5
!,Punctuation,3,1
!,Punctuation,5,3
!,Punctuation,6,4
!,Punctuation,7,10
!,Punctuation,8,22
!,Punctuation,9,24
!,Punctuation,10,118
!!,Punctuation,1,3
!!,Punctuation,5,1
!!,Punctuation,7,2
!!,Punctuation,8,5
!!,Punctuation,9,17
!!,Punctuation,10,74
!!!,Punctuation,8,4
!!!,Punctuation,10,35
!!!!,Punctuation,8,1
!!!!,Punctuation,10,6
!!!!!,Punctuation,1,1
!!!!!,Punctuation,10,3
!!!!!!,Punctuation,10,2
!!!!!!!,Punctuation,10,1
!!!!!!!!!,Punctuation,1,1
!!!!!!!!!!,Punctuation,10,2
!!!!!!!!!!!!!!!!,Punctuation,9,1
!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!,Punctuation,10,1
!!!!!!!!!!!!@@@@@@@@@@@@@,Punctuation,10,1
!!!!~,Punctuation,10,1
"!""",Punctuation,6,1
"!""",Punctuation,9,1
!),Punctuation,5,1
"!,",Punctuation,1,1
!...,Punctuation,9,1
!?,Punctuation,9,1
!?,Punctuation,10,1
!@,Punctuation,10,1
!@%!@%,Punctuation,10,1
!^^,Punctuation,10,1
!~,Punctuation,10,1
"""",Punctuation,4,2
"""",Punctuation,6,4
"""",Punctuation,7,2
"""",Punctuation,8,4
"""",Punctuation,9,1
"""",Punctuation,10,4
""",",Punctuation,6,1
&,Punctuation,7,1
&,Punctuation,10,2
',Punctuation,1,4
',Punctuation,5,2
',Punctuation,6,2
',Punctuation,7,2
',Punctuation,8,2
',Punctuation,10,24
'),Punctuation,10,1
(,Punctuation,1,3
(,Punctuation,2,2
(,Punctuation,5,3
(,Punctuation,7,1
(,Punctuation,8,2
(,Punctuation,10,4
(!),Punctuation,8,1
(?),Punctuation,6,1
(?),Punctuation,9,1
(?),Punctuation,10,2
(?;),Punctuation,9,1
(~,Punctuation,5,1
),Punctuation,1,3
),Punctuation,2,3
),Punctuation,5,1
),Punctuation,7,1
),Punctuation,8,2
),Punctuation,10,2
"),",Punctuation,5,1
)..,Punctuation,1,1
)...,Punctuation,10,1
)~,Punctuation,5,1
*,Punctuation,7,1
**,Punctuation,10,2
***,Punctuation,10,2
+,Punctuation,6,4
+,Punctuation,8,3
+,Punctuation,9,1
+,Punctuation,10,3
+_+,Punctuation,10,1
",",Punctuation,1,20
",",Punctuation,2,1
",",Punctuation,3,2
",",Punctuation,4,5
",",Punctuation,5,9
",",Punctuation,6,16
",",Punctuation,7,11
",",Punctuation,8,28
",",Punctuation,9,33
",",Punctuation,10,88
",,",Punctuation,3,1
",,",Punctuation,6,1
",,",Punctuation,7,1
",,",Punctuation,8,4
",,",Punctuation,9,1
",,",Punctuation,10,8
",,!!",Punctuation,10,1
",,,",Punctuation,7,1
",,,",Punctuation,8,1
",,,",Punctuation,10,4
",,,,",Punctuation,10,1
",,,,,,,,,,",Punctuation,10,1
",,;;",Punctuation,8,1
",.",Punctuation,2,1
",.",Punctuation,8,1
",.,.,.,.,.",Punctuation,9,1
",..",Punctuation,10,1
-,Punctuation,1,6
-,Punctuation,5,3
-,Punctuation,7,1
-,Punctuation,8,4
-,Punctuation,9,4
-,Punctuation,10,10
--,Punctuation,7,3
--;,Punctuation,1,1
--;,Punctuation,7,1
--;;,Punctuation,10,1
-.-,Punctuation,8,2
-.-+,Punctuation,3,1
-;,Punctuation,10,1
-_-,Punctuation,1,2
-_-,Punctuation,7,1
-_-,Punctuation,8,2
-_-,Punctuation,9,2
-_-,Punctuation,10,1
-_-),Punctuation,10,2
-_-;,Punctuation,5,1
